time,x,y
9.3,-0.193277064,1.540920707
9.35,-0.128020762,1.708819715
9.4,-0.04452515,1.79659813
9.45,0.045406813,1.799901416
9.5,0.129530129,1.71872139
9.55,0.196045981,1.557395212
9.6,0.234460592,1.324354734
9.65,0.236358369,1.031641337
9.7,0.196038383,0.694215558
9.75,0.110971941,0.329103141
9.8,-0.017949672,-0.04557107
9.85,-0.186394859,-0.411603336
9.9,-0.386801887,-0.751724227
9.95,-0.608807968,-1.050544389
10,-0.839871603,-1.295376846
10.05,-1.066050123,-1.476887589
10.1,-1.272884205,-1.589536974
10.15,-1.446334098,-1.631787427
10.2,-1.573708546,-1.606067458
10.25,-1.644527482,-1.518496957
10.3,-1.651263215,-1.378393449
10.35,-1.589912033,-1.197592321
10.4,-1.460358335,-0.989625322
10.45,-1.266506033,-0.7688101
10.5,-1.016166183,-0.549308712
10.55,-0.720704797,-0.344214562
10.6,-0.394469616,-0.164725029
10.65,-0.054028299,-0.019451329
10.7,0.282737726,0.08609184
10.75,0.597630427,0.149785874
10.8,0.873164205,0.172979561
10.85,1.093565403,0.160329166
10.9,1.245682466,0.119419045
10.95,1.319752064,0.060188437
11,1.309975107,-0.005797611
11.05,1.214867895,-0.066185414
11.1,1.037367181,-0.108723294
11.15,0.78468273,-0.122147701
11.2,0.467906123,-0.097007128
11.25,0.101399242,-0.026370044
11.3,-0.298000956,0.093629556
11.35,-0.711913788,0.263445166
11.4,-1.121426705,0.479992901
11.45,-1.50812744,0.73675828
11.5,-1.855095267,1.024129468
11.55,-2.147793031,1.329937393
11.6,-2.37480794,1.640169937
11.65,-2.528398659,1.939816272
11.7,-2.604818304,2.213788895
11.75,-2.604396834,2.447865821
11.8,-2.531381168,2.629593724
11.85,-2.393546193,2.749094996
11.9,-2.201603813,2.799727321
11.95,-1.968449362,2.778553296
12,-1.708294425,2.686589213
12.05,-1.43574168,2.528815655
12.1,-1.164860477,2.313947212
12.15,-0.908321294,2.053973527
12.2,-0.676642958,1.763498021
12.25,-0.477598984,1.458913255
12.3,-0.315818918,1.157462058
12.35,-0.192607905,0.876240777
12.4,-0.105993667,0.63120473
12.45,-0.050995455,0.436236005
12.5,-0.020095349,0.302330085
12.55,-0.003879374,0.236950662
12.6,0.008194933,0.243591824
12.65,0.026955927,0.321574236
12.7,0.062656404,0.466087691
12.75,0.12415069,0.668477431
12.8,0.218165199,0.916756817
12.85,0.348711444,1.196315173
12.9,0.516681412,1.490777784
12.95,0.719653582,1.782965875
13,0.951924411,2.055898409
13.05,1.20476567,2.293775168
13.1,1.466893516,2.482881908
13.15,1.725121483,2.612363365
13.2,1.965157612,2.674818168
13.25,2.172496433,2.666680839
13.3,2.333350021,2.588369272
13.35,2.435559382,2.444190585
13.4,2.469428124,2.242013182
13.45,2.428424664,1.992727207
13.5,2.309706986,1.709528534
13.55,2.114434568,1.407072199
